dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,atemp,hum,windspeed,cnt,day,time_of_day,comfortable_temp,comfortable_humidity
2011-01-01 00:00:00,1,0,1,0,0,6,0,1,0.2879,0.81,0.0,16,1,3,0,0
2011-01-01 01:00:00,1,0,1,1,0,6,0,1,0.2727,0.8,0.0,40,1,3,0,0
2011-01-01 02:00:00,1,0,1,2,0,6,0,1,0.2727,0.8,0.0,32,1,3,0,0
2011-01-01 03:00:00,1,0,1,3,0,6,0,1,0.2879,0.75,0.0,13,1,3,0,0
2011-01-01 04:00:00,1,0,1,4,0,6,0,1,0.2879,0.75,0.0,1,1,3,0,0
2011-01-01 05:00:00,1,0,1,5,0,6,0,2,0.2576,0.75,0.0896,1,1,3,0,0
2011-01-01 06:00:00,1,0,1,6,0,6,0,1,0.2727,0.8,0.0,2,1,3,0,0
2011-01-01 07:00:00,1,0,1,7,0,6,0,1,0.2576,0.86,0.0,3,1,2,0,0
2011-01-01 08:00:00,1,0,1,8,0,6,0,1,0.2879,0.75,0.0,8,1,2,0,0
2011-01-01 09:00:00,1,0,1,9,0,6,0,1,0.3485,0.76,0.0,14,1,2,0,0
2011-01-01 10:00:00,1,0,1,10,0,6,0,1,0.3939,0.76,0.2537,36,1,2,0,0
2011-01-01 11:00:00,1,0,1,11,0,6,0,1,0.3333,0.81,0.2836,56,1,2,0,0
2011-01-01 12:00:00,1,0,1,12,0,6,0,1,0.4242,0.77,0.2836,84,1,2,1,0
2011-01-01 13:00:00,1,0,1,13,0,6,0,2,0.4545,0.72,0.2985,94,1,0,1,0
2011-01-01 14:00:00,1,0,1,14,0,6,0,2,0.4545,0.72,0.2836,106,1,0,1,0
2011-01-01 15:00:00,1,0,1,15,0,6,0,2,0.4394,0.77,0.2985,110,1,0,1,0
2011-01-01 16:00:00,1,0,1,16,0,6,0,2,0.4242,0.82,0.2985,93,1,0,1,0
2011-01-01 17:00:00,1,0,1,17,0,6,0,2,0.4394,0.82,0.2836,67,1,0,1,0
2011-01-01 18:00:00,1,0,1,18,0,6,0,3,0.4242,0.88,0.2537,35,1,0,1,0
2011-01-01 19:00:00,1,0,1,19,0,6,0,3,0.4242,0.88,0.2537,37,1,1,1,0
2011-01-01 20:00:00,1,0,1,20,0,6,0,2,0.4091,0.87,0.2537,36,1,1,1,0
2011-01-01 21:00:00,1,0,1,21,0,6,0,2,0.4091,0.87,0.194,34,1,1,1,0
2011-01-01 22:00:00,1,0,1,22,0,6,0,2,0.4091,0.94,0.2239,28,1,1,1,0
2011-01-01 23:00:00,1,0,1,23,0,6,0,2,0.4545,0.88,0.2985,39,1,1,1,0
2011-01-02 00:00:00,1,0,1,0,0,0,0,2,0.4545,0.88,0.2985,17,2,3,1,0
2011-01-02 01:00:00,1,0,1,1,0,0,0,2,0.4394,0.94,0.2537,17,2,3,1,0
2011-01-02 02:00:00,1,0,1,2,0,0,0,2,0.4242,1.0,0.2836,9,2,3,1,0
2011-01-02 03:00:00,1,0,1,3,0,0,0,2,0.4545,0.94,0.194,6,2,3,1,0
2011-01-02 04:00:00,1,0,1,4,0,0,0,2,0.4545,0.94,0.194,3,2,3,1,0
2011-01-02 06:00:00,1,0,1,6,0,0,0,3,0.4242,0.77,0.2985,2,2,3,1,0
2011-01-02 07:00:00,1,0,1,7,0,0,0,2,0.4091,0.76,0.194,1,2,2,1,0
2011-01-02 08:00:00,1,0,1,8,0,0,0,3,0.4091,0.71,0.2239,8,2,2,1,0
2011-01-02 09:00:00,1,0,1,9,0,0,0,2,0.3939,0.76,0.2239,20,2,2,0,0
2011-01-02 10:00:00,1,0,1,10,0,0,0,2,0.3485,0.81,0.2239,53,2,2,0,0
2011-01-02 11:00:00,1,0,1,11,0,0,0,2,0.3333,0.71,0.2537,70,2,2,0,0
2011-01-02 12:00:00,1,0,1,12,0,0,0,2,0.3333,0.66,0.2985,93,2,2,0,0
2011-01-02 13:00:00,1,0,1,13,0,0,0,2,0.3485,0.66,0.1343,75,2,0,0,0
2011-01-02 14:00:00,1,0,1,14,0,0,0,3,0.3485,0.76,0.194,59,2,0,0,0
2011-01-02 15:00:00,1,0,1,15,0,0,0,3,0.3333,0.81,0.1642,74,2,0,0,0
2011-01-02 16:00:00,1,0,1,16,0,0,0,3,0.3333,0.71,0.1642,76,2,0,0,0
2011-01-02 17:00:00,1,0,1,17,0,0,0,1,0.3333,0.57,0.194,65,2,0,0,0
2011-01-02 18:00:00,1,0,1,18,0,0,0,2,0.3333,0.46,0.3284,53,2,0,0,1
2011-01-02 19:00:00,1,0,1,19,0,0,0,1,0.2879,0.42,0.4478,30,2,1,0,1
2011-01-02 20:00:00,1,0,1,20,0,0,0,1,0.2727,0.39,0.3582,22,2,1,0,1
2011-01-02 21:00:00,1,0,1,21,0,0,0,1,0.2273,0.44,0.3284,31,2,1,0,1
2011-01-02 22:00:00,1,0,1,22,0,0,0,1,0.2121,0.44,0.2985,9,2,1,0,1
2011-01-02 23:00:00,1,0,1,23,0,0,0,1,0.2273,0.47,0.1642,8,2,1,0,1
2011-01-03 00:00:00,1,0,1,0,0,1,1,1,0.197,0.44,0.3582,5,3,3,0,1
2011-01-03 01:00:00,1,0,1,1,0,1,1,1,0.1667,0.44,0.4179,2,3,3,0,1
2011-01-03 04:00:00,1,0,1,4,0,1,1,1,0.1364,0.47,0.3881,1,3,3,0,1
2011-01-03 05:00:00,1,0,1,5,0,1,1,1,0.1364,0.47,0.2836,3,3,3,0,1
2011-01-03 06:00:00,1,0,1,6,0,1,1,1,0.1061,0.5,0.3881,30,3,3,0,1
2011-01-03 07:00:00,1,0,1,7,0,1,1,1,0.1364,0.5,0.194,64,3,2,0,1
2011-01-03 08:00:00,1,0,1,8,0,1,1,1,0.1212,0.5,0.2836,154,3,2,0,1
